NR,ID,Order,Date,Island,Location,Site,Altitude,Docility,docility_time,docility_obs,Net Number,band,ColoRS RiGht,ColoRS Left,Species,Sex,age,Plum,BP.CP,Beak LengthA,Beak LengthB,Beak LengthC,Beak DepthA,Beak DepthB,Beak DepthC,Beak WidthA,Beak WidthB,Beak WidthC,Head Length,Head Depth,Head Width,Tarsus,Wing Chord,TipA,TipB,TipC,SideA,SideB,SideC,Mass,Blood,By?,Feces,Feces.Notes,Pox.Notes,Molting.Notes,temperature,Photo,Page_data_sheet,Notes,Meanbeaklength,Meanbeakdepth,Meanbeakwidth,Meantip,Meanside,Year,Logitud,Latitud,Recapture,Recapture.1,Recapture.2,Recapture.3,Extra.notes,DataSource,Sex0,Species1,Species0,MedianTip,MedianSide,Plum0,blackness,BANDER,BANDFINAL,CAPTURE,STATUS,sex,AdultMale,Species2,Head Length_correction_2018,MedianBeakLength,MedianBeakDepth,MedianBeakWidth,Blood samples location,Blood sample types,Position_storage,Comments,DNA extraction who,DNA extraction date,DNA extraction protocol,Notes,DNA.Box_location,Box.number,Nano.Quant,Pico.Green.ng.ul,Comment.Pico.Green,RAD.Library,Genomic.analysis,unique_ID,Importation_permit_number_CFIA,Other_projects,Original.sort
,12751,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0167,,,crassirostris,f,ad,,1,10.46,,,11.02,,,9.29,,,,,,27.84,83,,,,,,,30.6,y,MOB,,,,n,,y,2,Missing claw R4,10.46,11.02,9.29,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.46,11.02,9.29,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12752,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0168,,,crassirostris,f,ad,,4,11.67,,,10.89,,,9.45,,,,,,25.84,80,,,,,,,29,y,MOB,,,,n,,y,2,Beak very long at tip,11.67,10.89,9.45,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.67,10.89,9.45,RM (2019 Binder),BC,Binder_2019_P01,,,,,,,,,,,,,,,,
,12753,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0169,,,crassirostris,f,ad,,1,10.33,,,10.88,,,9.62,,,,,,27.74,82,,,,,,,29.3,y,MOB,,,,,,y,2,,10.33,10.88,9.62,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.33,10.88,9.62,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12754,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0170,,,scandens,m,ad,4,1,15.52,,,9.08,,,8.76,,,,,,21.84,73,,,,,,,23.2,y,MOB,y,,y,y,,y,2,Pox,15.52,9.08,8.76,,,2019,,,,,,,,,,,,,,,,,,,,,,,,15.52,9.08,8.76,RM (2019 Binder),BC,Binder_2019_P55,,,,,,,,,,,,,,,,
,12755,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0171,,,crassirostris,m,ad,5,1,10.32,,,10.88,,,10.41,,,,,,27.21,85,,,,,,,31.6,y,MOB,,,,,,y,2,,10.32,10.88,10.41,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.32,10.88,10.41,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
,12756,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0172,,,fortis,f,ad,,2,11.98,,,12,,,10.96,,,,,,21.76,71,,,,,,,23.3,y,MOB,,,,,,y,2,,11.98,12,10.96,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.98,12,10.96,RM (2019 Binder),BC,Binder_2019_P13,,,,,,,,,,,,,,,,
,12757,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF5951,,,parvulus,f,ad,,3,7.53,,,6.65,,,6.43,,,,,,19.77,61,,,,,,,13.4,y,MOB,,,,n,,y,2,,7.53,6.65,6.43,,,2019,,,,,,,,,,,,,,,,,,,,,,,,7.53,6.65,6.43,RM (2019 Binder),BC,Binder_2019_P54,,,,,,,,,,,,,,,,
,12758,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0173,,,fortis,f,ad,,4,11.98,,,11.67,,,10.51,,,,,,21.86,72,,,,,,,22,y,MOB,,,,n,,y,2,,11.98,11.67,10.51,,,2019,,,,,,,,,,,,,,,,,,,,,,,,11.98,11.67,10.51,RM (2019 Binder),BC,Binder_2019_P13,,,,,,,,,,,,,,,,
,12759,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,RHC382,,,fortis,f,ad,,2,10.6,,,10.14,,,9.75,,,,,,21.16,73,,,,,,,19.2,y,MOB,,,,,,y,3,,10.6,10.14,9.75,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.14,9.75,RM (2019 Binder),BC,Binder_2019_P15,,,,,,,,,,,,,,,,
,12760,,2/18/19,Santa Cruz,Academy Bay,,Lowland,NA,,,1,LF0174,,,crassirostris,m,ad,5,1,10.58,,,11.21,,,9.99,,,,,,27.47,85,,,,,,,31.5,y,MOB,y,,y,y,,y,3,,10.58,11.21,9.99,,,2019,,,,,,,,,,,,,,,,,,,,,,,,10.58,11.21,9.99,RM (2019 Binder),BC,Binder_2019_P02,,,,,,,,,,,,,,,,
