Order,Page ,Date ,Location,Species,Band#,Recap,Colors,Sex,Plumage,CP/BP,Bill Length,Bill Depth,Bill Width,Tarsus,Wing Chord,Mass,POX
409,33,19-Feb-19,CDRS,SCA,SM1256,0,,M,5,,15.89,9,8.91,24.2,72,21.7,R
410,34,19-Feb-19,CDRS,CRA,SM1257,0,,F,0,BP4,10.55,11.26,9.55,25.95,81,29.4,U
411,34,19-Feb-19,CDRS,CRA,SM1258,0,,F,0,,10.43,11.32,9.72,26.96,79,28.3,R
412,34,19-Feb-19,CDRS,CRA,SM1259,0,,F,0,,10.69,11.04,9.22,28.66,79,29.1,U
413,34,19-Feb-19,CDRS,CRA,SM1260,0,,F,0,,10.51,10.67,9.4,26.1,80,28.1,U
414,34,19-Feb-19,CDRS,CRA,SM1261,0,,F,0,BP4,10.5,11.55,9.2,25.81,79,32.3,U
415,34,19-Feb-19,CDRS,CRA,JP5616,1,,F,0,BP5,10.41,12.1,9.72,23.35,76,30.9,I
416,34,19-Feb-19,CDRS,FUL,SM077,0,,M,4,CP0,9.54,7.8,6.99,19.18,63,15.4,U
417,34,19-Feb-19,CDRS,FOR,SM078,0,,M,4,,11.3,12.14,8.97,18.19,70.5,19.1,U
418,34,19-Feb-19,CDRS,FOR,SM1262,0,,F,0,BP4,13.22,13.8,11.36,21.12,71,26.3,I
419,34,19-Feb-19,CDRS,FOR,SM1263,0,,M,5,,10.86,11.65,9.45,20.5,72,19.9,R
420,34,19-Feb-19,CDRS,CRA,SM1264,0,,M,4,,10.65,12.47,10.28,24.75,86.5,33.5,U
421,34,19-Feb-19,CDRS,CRA,SM1265,0,,F,0,BP3,10.46,12.6,9.65,24.87,80,30.6,I
422,35,19-Feb-19,CDRS,CRA,SM1266,0,,M,1,,10.98,11.65,9.43,25.96,80.5,28.2,I
424,35,20-Feb-19,CDRS,GAMO,DC769,0,,U,,,12.42,,,32.38,96.5,42.4,I
425,35,20-Feb-19,CDRS,CRA,RHC343,1,,M,4,,11.33,10.67,9.4,26.16,81,,U
426,35,20-Feb-19,CDRS,CRA,SM1267,0,,F,0,BP5,9.72,11.26,9.75,25.57,82,29.1,I
427,35,20-Feb-19,CDRS,CRA,SM1067,1,,M,5,,10.69,12.52,9.84,24.77,80,31.5,I
428,35,20-Feb-19,CDRS,FOR,SM1103,1,,F,0,,,,,,,,U
429,35,20-Feb-19,CDRS,CRA,SM1268,0,,M,4,,11.15,11.92,9.22,24.56,84.5,30.6,I
430,35,20-Feb-19,CDRS,FOR,SM1269,0,,F,0,BP3,14.8,15.35,12.03,20.13,72,29.4,I
431,35,20-Feb-19,CDRS,PAR,SM079,0,,F,0,BP4,7.67,7.25,6.26,19,60,12.5,U
432,35,20-Feb-19,CDRS,FOR,SM1270,0,,M,3,,11.45,11.68,9.69,19.54,68,20.1,U
433,35,20-Feb-19,CDRS,SCA,SM1162,1,,U,,,,,,,,,I
434,36,20-Feb-19,CDRS,FUL,SM080,0,,F,0,BP0,9.48,7.46,6.54,20.25,59,14.6,U
435,36,20-Feb-19,CDRS,FOR,SM1271,0,,M,4,,12.83,12.6,10.05,20.99,71,23.3,U
436,36,20-Feb-19,CDRS,FUL,SM081,0,,F,0,,9.07,7.41,6.79,19.24,60,15.1,R
437,36,21-Feb-19,CDRS,FOR,SM1272,0,,M,2,,11.12,11.19,9.13,20.04,62,20.6,U
438,36,21-Feb-19,CDRS,CRA,PP18421,1,,F,0,,10.84,11.84,9.91,23.96,87.5,30,U
439,36,21-Feb-19,CDRS,FUL,SM082,0,,M,5,,9.53,8.26,6.8,18.68,61,14.8,R
440,36,21-Feb-19,CDRS,FOR,SM1273,0,,M,5,,13.54,13.99,10.43,22.14,72,22.7,I
441,36,21-Feb-19,CDRS,CRA,JH139,1,,M,5,,11.04,11,9.57,27.27,82,30.2,U
442,36,21-Feb-19,CDRS,FOR,SM1247,1,,F,0,,11.28,9,9,19.37,65,17.6,U
443,36,21-Feb-19,CDRS,FOR,LF0173,1,,F,0,,12.04,9.88,9.88,21.4,68.5,22,U
444,36,21-Feb-19,CDRS,MAG,SM1274,0,,F,0,BP3,16.26,14.15,14.15,21.59,75.5,34.7,I-R
445,37,22-Feb-19,EG-beach,GAMO,DC770,0,,U,,,15.86,,,31.14,105,42.4,U
446,37,22-Feb-19,EG-beach,FUL,SM084,0,,U,0,,8.51,7.86,6.39,19.61,61,14.1,U
447,37,22-Feb-19,EG-beach,FOR,SM1275,0,,M,2,,11.93,12.49,10.41,20.07,71.5,23.5,I
448,37,22-Feb-19,EG-beach,GAMO,DC771,0,,U,,,14.95,,,30.41,104.5,39.5,U
449,37,22-Feb-19,EG-beach,FOR,SM1276,0,,F,0,BP4,12.83,12.78,10.6,18.58,72,24.1,U
450,37,22-Feb-19,EG-beach,FUL,SM085,0,,U,0,BP0,8.46,7.65,6.25,17.81,58,13.5,R
451,37,22-Feb-19,EG-beach,FOR,,0,,M,5,,11.86,11.18,8.86,18.31,66,19.1,R
452,37,22-Feb-19,EG-beach,CRA,SM1277,0,,M,2,,11.24,11.95,10.06,26.34,83,31.4,I
453,37,22-Feb-19,EG-beach,FOR,SM1278,0,,F,0,BP5,10.62,10.6,9.11,19.89,68.5,19.7,I
454,37,22-Feb-19,EG-beach,FUL,SM086,0,,F,0,BP4,8.52,7.98,6.61,17.36,60.5,,U
455,37,22-Feb-19,EG-beach,FUL,SM087,0,,M,4,,9.81,7.64,6.58,18.33,62.5,15.3,U
456,37,22-Feb-19,EG-beach,GAMO,DC772,0,,M,,CP,16.42,,,32.03,112,44.5,U
457,38,22-Feb-19,EG-beach,FUL,SM088,0,,M,5,,8.82,8.04,6.91,18.83,64.5,15.7,R
458,38,22-Feb-19,EG-beach,FUL,SM089,0,,F,0,BP4,8.82,7.56,6.86,18.37,60.5,13.9,I
459,38,22-Feb-19,EG-beach,FUL,SM090,0,,F,0,BP4,9.38,7.43,6.76,19,59.5,12.1,U
460,38,22-Feb-19,EG-beach,FUL,SM091,0,,M,4,,8.43,7.12,6.23,18.08,61.5,15.7,I
461,38,22-Feb-19,EG-beach,FUL,SM092,0,,F,0,BP3,9.38,7.92,7.06,17.33,59.5,16,U
462,38,22-Feb-19,EG-beach,FOR,SM1279,0,,F,0,BP4,12.8,12.08,9.16,19.94,66,22,U
463,38,22-Feb-19,EG-beach,FUL,SM093,0,,F,0,BP4,9.07,7.3,6.41,17.69,69.5,16,I
464,38,22-Feb-19,EG-beach,FUL,SM094,0,,M,4,,8.97,8.15,7.05,17.24,62,13.4,U
465,38,22-Feb-19,EG-beach,FUL,SM095,0,,M,5,,9.15,8.55,7.3,18.08,61.5,15.5,I
466,38,25-Feb-19,EG-AZ,FOR,SM096,0,,F,0,BP5,12.08,10.4,8.61,19.79,66,21.6,U
467,38,25-Feb-19,EG-AZ,FOR,SM1280,0,,F,0,BP3,13.06,12.91,10.79,19.82,72,25.7,R
468,38,25-Feb-19,EG-AZ,FOR,SM1281,0,,F,0,BP4,10.69,11.12,9.15,19.08,66.5,20.8,U
469,39,25-Feb-19,EG-AZ,MAG,SM1282,0,,M,2,,13.4,15.98,12.47,20.72,70.5,27.2,I
470,39,25-Feb-19,EG-AZ,MAG,SM1283,0,,F,0,,15.07,15.61,13.22,23.25,76,29.1,U
471,39,25-Feb-19,EG-AZ,FUL,SM097,0,,F,0,,8.52,7.39,7.16,19.55,61,14.2,U
472,39,25-Feb-19,EG-AZ,FUL,SM098,0,,M,5,,8.21,6.67,6.97,17.97,61,12.7,I
473,39,25-Feb-19,EG-AZ,FUL,SM099,0,,F,0,BP5,8.48,6.9,6.28,18.95,56,13.8,U
474,39,25-Feb-19,EG-AZ,FOR,LF0493,1,,M,1,,11.45,10.87,9.86,18.94,69,21.7,U
475,39,25-Feb-19,EG-AZ,FOR,no band,0,,F,0,BP3,10.89,11.05,9.52,18.44,65,20.2,U
476,39,25-Feb-19,EG-AZ,FUL,SM100,0,,M,4,,8.46,7.97,7.27,19.1,60.5,14.8,U
477,39,25-Feb-19,EG-AZ,FOR,SM1284,0,,F,0,,11.16,10.07,8.73,22.35,67,21.2,U
478,39,25-Feb-19,EG-AZ,FOR,SM1285,0,,F,0,BP4,12.42,11.62,10.31,23.56,67.5,24.9,U
479,39,25-Feb-19,EG-AZ,FOR,SM1286,0,,M,3,,12.81,13.23,11.04,23.11,72,25.2,U
480,39,25-Feb-19,EG-AZ,FUL,SM101,0,,F,0,,9.31,7.14,6.6,18.53,60,14.8,U
481,40,25-Feb-19,EG-AZ,GAMO,DC773,0,RSOBk,M,,,15.26,,,32.79,104.5,43.5,U
482,40,25-Feb-19,EG-AZ,FOR,JP5274,1,PiS-W,F,0,BP4,10.79,10.43,7.89,18.08,65,19.5,R
483,40,25-Feb-19,EG-AZ,FOR,SM1287,0,,U,0,BP0,10.96,10.62,9.13,19.66,64.5,19.1,I
484,40,25-Feb-19,EG-AZ,FUL,SM102,0,,F,0,BP4,8.27,7.23,6.61,20.28,60,15.6,U
485,40,25-Feb-19,EG-AZ,FUL,SM103,0,,M,2,,8.36,8.06,6.57,14.87,61.5,15.8,R
486,40,25-Feb-19,EG-AZ,GAMO,DC551,1,,M,,,16.31,,,33.49,109,48.3,U
487,40,25-Feb-19,EG-AZ,FOR,SM1288,0,,M,5,,11.88,11.01,9.97,21.46,71,22.6,R
488,40,25-Feb-19,EG-AZ,FOR,NO band,0,,F,0,,12.02,11.31,9.29,21.98,,20.2,U
489,40,25-Feb-19,EG-AZ,FOR,SM1289,0,,M,5,,12.07,11.32,9.95,22.4,70,19.5,R
490,40,26-Feb-19,EG-beach,GAMO,DC774,0,,U,,,14.85,,,33.14,105,41.2,U
491,40,26-Feb-19,EG-beach,FUL,SM104,0,,F,0,,8.86,6.8,6.36,17.95,63,13.9,U
492,40,26-Feb-19,EG-beach,GAMO,DC775,0,,U,,,15.77,,,33.16,102,46.1,U
493,41,26-Feb-19,EG-beach,GAMO,DC776,0,,M,,,15.14,,,33.2,110,39.6,R
494,41,26-Feb-19,EG-beach,GAMO,DC777,0,,M,,,16.38,,,31.87,106.5,45.2,U
495,41,26-Feb-19,EG-beach,FOR,SM1290,0,,M,4,,13.39,13.05,11.15,24.78,76,26.2,I
496,41,26-Feb-19,EG-beach,FUL,SM105,0,,M,4,,8.57,7.98,6.44,18.95,63,13.6,U
497,41,26-Feb-19,EG-beach,FUL,SM106,0,,M,4,,8.9,7.23,6.99,18.7,61,13,U
498,41,26-Feb-19,EG-beach,FUL,SM107,0,,F,0,BP2,7.76,6.81,6.55,19.04,60,13.2,U
499,41,26-Feb-19,EG-beach,FOR,SM1291,0,,F,0,,12.38,11.09,8.92,20.46,68.5,19.9,U
500,41,26-Feb-19,EG-beach,FUL,SM108,0,,M,5,,8.26,7.21,6.48,19.64,61.5,14.7,I
501,41,26-Feb-19,EG-beach,FUL,SM109,0,,F,0,,8.91,7.07,6.56,17.55,59,17.7,R
502,41,26-Feb-19,EG-beach,FUL,SM110,0,,F,0,,9.09,6.96,6.21,18.74,61,14.1,I
503,41,26-Feb-19,EG-beach,FOR,SM1292,0,,F,0,BP3,11.75,10.89,9.92,20.27,65,19.8,I
504,41,26-Feb-19,EG-beach,FUL,LF599,1,,F,0,,8.77,7.13,7.33,18.38,61,14.7,I
505,42,26-Feb-19,EG-beach,FOR,SM1293,0,,F,0,BP4,11.33,12.28,10.05,18.09,65,19.6,U
506,42,26-Feb-19,EG-beach,FOR,SM1294,0,,F,0,,11.19,10.58,8.73,20.63,64.5,19.6,U
507,42,26-Feb-19,EG-beach,FUL,SM112,0,,U,0,,7.82,7.52,7.09,18.29,63.5,13.9,U
508,42,26-Feb-19,EG-beach,FOR,SM1295,0,,F,0,BP5,10.47,9.65,7.88,17.91,64,17.9,U
509,42,26-Feb-19,EG-beach,FUL,LF5939,0,,M,,,8.39,7.66,6.35,16.73,59.5,14.5,U
510,42,26-Feb-19,EG-beach,FOR,SM1296,0,,M,2,,11.22,12.31,10.17,19.5,71,22.2,U
511,42,26-Feb-19,EG-beach,FOR,SM1297,0,,F,0,BP5,10.54,11.05,8.94,18.2,66,20.2,U
512,42,26-Feb-19,EG-beach,FUL,SM113,0,,F,0,BP5,7.64,6.82,5.92,15.9,57.5,12.5,U
513,42,26-Feb-19,EG-beach,FUL,SM114,0,,F,0,BP4,9.62,7.14,6.11,17.74,59,14.3,R
514,42,26-Feb-19,EG-beach,FOR,SM1298,0,,F,0,,10.59,9.71,8.5,21.03,64,18.1,U
515,42,26-Feb-19,EG-beach,FOR,SM1299,0,,U,0,,11.22,10.81,9.24,21.49,68,18.5,I
516,42,26-Feb-19,EG-beach,FUL,SM115,0,,F,0,,8.22,7.15,6.8,20.51,58,13.7,I
517,43,26-Feb-19,EG-beach,FOR,LF0361,0,,F,0,BP4,10.46,11.12,9.1,18.34,67.5,20.5,U
518,43,26-Feb-19,EG-beach,FUL,SM116,0,,F,0,BP3,8.16,6.79,5.61,,60.5,12.9,I
519,43,26-Feb-19,EG-beach,FOR,LF0362,0,,F,0,BP3,11.57,10.92,9.83,18.76,62,20.2,U
520,43,26-Feb-19,EG-beach,FOR,LF0363,0,,F,0,BP4,11.43,11.01,8.57,18.85,64,20.7,U
521,43,26-Feb-19,EG-beach,FUL,SM117,0,,M,4,,9.09,7.46,7.39,19.37,61.5,15.2,U
522,43,26-Feb-19,EG-beach,FUL,SM118,0,,M,3,,8.63,7.84,6.67,16.31,62,13.5,U
523,43,26-Feb-19,EG-beach,FOR,LF0364,0,,F,0,,11.11,10.27,8.76,17.57,66,20.3,R
524,43,26-Feb-19,EG-beach,FOR,SM1300,0,,F,0,BP4,13.82,13.6,10.56,20.92,71.5,25,R
525,43,26-Feb-19,EG-beach,FOR,LF0365,0,,F,0,BP4,11.81,10.41,9.26,20.23,65.5,19.8,U
526,43,27-Feb-19,EG-shire,FOR,LF0366,0,,M,5,,14.17,14.43,11.96,21.45,76.5,27.6,R
527,43,27-Feb-19,EG-shire,FOR,JP4397,1,,M,5,,11.71,10,8.64,20.4,66,19.6,R
528,43,27-Feb-19,EG-shire,FOR,LF0367,0,,M,5,,13.02,14.49,12.11,21.72,73.5,25.6,U
529,44,27-Feb-19,EG-shire,MAG,LF0368,0,,M,4,,13.7,15.57,12.06,18.97,75.5,27.4,U
530,44,27-Feb-19,EG-shire,GAMO,DC554,0,OYBkS,M,,,16.94,,,33.56,108.5,41.5,U
531,44,27-Feb-19,EG-shire,GAMO,DC778,0,SOByBl,U,,,15.01,,,36.67,110,46.1,I
532,44,27-Feb-19,EG-shire,MAG,LF0370,0,,F,0,,15.53,16.33,13.01,21.39,71,32.1,U
533,44,27-Feb-19,EG-shire,CRA,LF0371,0,,M,3,,10.78,11.9,10.44,26.83,81,32.8,U
534,44,27-Feb-19,EG-shire,FUL,SM119,0,,M,1,,8.71,7.65,6.58,18.03,61.5,14.9,I
535,44,27-Feb-19,EG-shire,FUL,SM120,0,,M,4,,8.82,7.51,6.7,18.26,61,14,I
536,44,27-Feb-19,EG-shire,FUL,SM121,0,,F,0,,8.86,7.11,6.15,18.78,60,12.9,R
537,44,27-Feb-19,EG-shire,FUL,SM122,0,,M,3,,8.54,7.81,6.76,18.32,63.5,15.4,U
538,45,2-Mar-19,CDRS,CRA,LF0474,0,,F,0,,10.44,11.16,9.55,23.97,80,29.1,U
539,,,,CRA,LF0373,1,,M,4,,11.06,12.1,10.21,27.37,85,35.8,I
540,,,,CRA,LF0374,0,,F,0,,11.81,11.81,8.85,26.21,81,,U
541,,,,FOR,KGSK2116,1,WWSO,F,0,,11.62,11.62,9.13,18.93,89,21.3,I
542,,,,CRA,LF0375,0,,F,0,,11.36,11.36,9.68,29.06,80.5,29.7,I
543,,,,FOR,LF0376,0,,M,2,,12.96,12.88,10.63,21.39,71,21,I
