Index,Sort order,GeneID,avg mIFOR,avg mICRA,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
1301,103,CAPN10,104,210,7.3,1.0,1.0,0.00,0.00,yes,2,1,1
9743,103,MBD4,1219,2493,10.9,1.0,1.0,0.00,0.03,yes,2,1,1
79,103,ABR,1018,499,9.6,-1.0,1.0,0.00,0.02,yes,2,1,1
1135,103,BRF2,129,264,7.6,1.0,1.0,0.00,0.00,yes,2,1,1
3058,103,EIF2AK1,118,58,6.5,-1.0,1.0,0.00,0.02,yes,2,1,1
297,103,AGO4,270,132,7.7,-1.0,1.0,0.00,0.01,yes,2,1,1
399,103,ALKBH4,430,876,9.4,1.0,1.0,0.00,0.01,yes,2,1,1
11741,103,PPM1G,8405,17134,13.6,1.0,1.0,0.00,0.00,yes,2,1,1
11458,103,PITPNM1,3204,6530,12.2,1.0,1.0,0.01,0.04,yes,2,1,1
15758,103,YWHAH,332,163,8.0,-1.0,1.0,0.00,0.03,yes,2,1,1
15942,103,ZNF518A,142,69,6.7,-1.0,1.0,0.00,0.00,yes,2,1,1
7919,103,LOC115947690,759,373,9.1,-1.0,1.0,0.01,0.04,yes,2,1,1
5201,102,KIF3A,702,345,9.0,-1.0,1.0,0.00,0.00,yes,2,1,1
9935,102,MIA3,10347,5088,12.9,-1.0,1.0,0.00,0.01,yes,2,1,1
3386,102,FAM114A2,228,114,7.4,-1.0,1.0,0.00,0.00,yes,2,1,1
10918,102,OGFOD3,352,174,8.0,-1.0,1.0,0.00,0.02,yes,2,1,1
6045,102,LOC102035154,22646,45992,15.1,1.0,1.0,0.00,0.02,yes,2,1,1
11482,102,PKNOX1,2074,4211,11.6,1.0,1.0,0.00,0.00,yes,2,1,1
11554,102,PLEKHM3,97,48,6.2,-1.0,1.0,0.01,0.04,yes,2,1,1
14630,102,TMEM65,1613,796,10.2,-1.0,1.0,0.00,0.00,yes,2,1,1
1194,102,C1QTNF12,51,102,6.3,1.0,1.0,0.00,0.01,yes,2,1,1
13538,102,SMC1A,389,787,9.2,1.0,1.0,0.00,0.02,yes,2,1,1
13893,102,ST8SIA6,682,337,9.0,-1.0,1.0,0.00,0.01,yes,2,1,1
7684,101,LOC102045627,142,284,7.7,1.0,1.0,0.00,0.00,yes,2,1,1
11275,101,PEF1,1470,2968,11.1,1.0,1.0,0.00,0.00,yes,2,1,1
15848,101,ZEB1,223,111,7.4,-1.0,1.0,0.00,0.02,yes,2,1,1
7630,101,LOC102045263,478,237,8.5,-1.0,1.0,0.00,0.03,yes,2,1,1
11829,101,PREX1,518,258,8.6,-1.0,1.0,0.01,0.05,yes,2,1,1
7641,101,LOC102045350,216,107,7.3,-1.0,1.0,0.00,0.00,yes,2,1,1
121,101,ACOT11,144,72,6.8,-1.0,1.0,0.01,0.03,yes,2,1,1
12184,101,RAD51,21,42,5.0,1.0,1.0,0.01,0.04,yes,2,1,1
13848,101,SRXN1,12412,24933,14.2,1.0,1.0,0.00,0.01,yes,2,1,1
13914,101,STAT1,11259,5608,13.0,-1.0,1.0,0.01,0.03,yes,2,1,1
1487,101,CCNE2,152,305,7.8,1.0,1.0,0.00,0.00,yes,2,1,1
10079,101,MPP7,107,53,6.3,-1.0,1.0,0.00,0.03,yes,2,1,1
4632,100,HSPA5,3632,7282,12.4,1.0,1.0,0.00,0.00,yes,2,1,1
4349,100,GUSB,774,1551,10.2,1.0,1.0,0.00,0.00,yes,2,1,1
9008,100,LOC115949097,78,155,6.9,1.0,1.0,0.00,0.01,yes,2,1,1
10510,100,NEDD4,43,22,5.0,-1.0,1.0,0.01,0.04,yes,2,1,1
6162,100,LOC102036000,334,669,9.0,1.0,1.0,0.00,0.00,yes,2,1,1
12786,100,RUVBL1,134,67,6.7,-1.0,1.0,0.00,0.01,yes,2,1,1
7650,100,LOC102045404,476,238,8.5,-1.0,1.0,0.00,0.00,yes,2,1,1
