Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
13380,169,SLC35G1,41,13,4.8,1.7,1.7,0,0.02,yes,2,1,1
13449,128,SLC66A1,325,135,7.8,1.3,1.3,0,0,yes,2,1,1
13515,135,SLX4IP,253,511,8.6,-1,1,0,0,yes,2,1,1
13521,120,SMAD6,328,143,7.9,1.2,1.2,0,0,yes,2,1,1
13544,103,SMC6,508,252,8.6,1,1,0,0.03,yes,2,1,1
13556,167,SMIM13,84,227,7.3,-1.4,1.4,0,0,yes,2,1,1
13585,266,SMTNL2,5,25,3.9,-2.3,2.3,0,0,yes,1,1,1
13592,110,SMYD4,864,402,9.3,1.1,1.1,0,0,yes,2,1,1
13610,134,SNED1,19,48,5.1,-1.3,1.3,0,0.01,yes,2,1,1
13611,131,SNN,980,463,9.5,1.1,1.1,0.01,0.05,yes,2,1,1
13618,274,SNRNP40,5740,859,11.7,2.7,2.7,0,0,yes,2,1,1
13629,423,SNTA1,48,3,4.7,4.2,4.2,0,0,yes,1,1,1
13631,121,SNTB2,19,45,5,-1.2,1.2,0.01,0.04,yes,2,1,1
13651,111,SNX24,81,37,5.9,1.1,1.1,0,0,yes,2,1,1
13665,119,SOAT1,38,83,5.9,-1.1,1.1,0,0.02,yes,2,1,1
13674,321,SOD1,9741,2162,12.5,2.2,2.2,0,0,yes,2,1,1
13677,102,SOGA1,56,112,6.4,-1,1,0,0.02,yes,2,1,1
13692,128,SOWAHD,51,121,6.4,-1.2,1.2,0.01,0.04,yes,2,1,1
13702,233,SOX5,19,52,5.1,-1.5,1.5,0,0.03,yes,2,1,1
13732,275,SPATA5,13,67,5.3,-2.4,2.4,0,0,yes,2,1,1
13762,106,SPINT1,24,51,5.2,-1.1,1.1,0,0.02,yes,2,1,1
13778,267,SPR,12,56,5.1,-2.3,2.3,0,0,yes,2,1,1
13780,104,SPRED2,40,20,4.9,1,1,0,0.01,yes,2,1,1
13791,146,SPTBN1,218,551,8.6,-1.3,1.3,0,0.02,yes,2,1,1
13800,137,SQLE,122,60,6.5,1,1,0,0,yes,2,1,1
13804,152,SRBD1,55,19,5.2,1.5,1.5,0,0,yes,2,1,1
13838,158,SRRM3,84,36,5.9,1.2,1.2,0,0.01,yes,2,1,1
13862,201,SST,5,17,3.5,-1.8,1.8,0,0.03,yes,1,1,1
13868,409,SSX2IP,121,7,6,4.1,4.1,0,0,yes,1,1,1
13877,191,ST3GAL6,38,106,6.2,-1.5,1.5,0,0,yes,2,1,1
13881,190,ST6GALNAC2,11,40,4.7,-1.9,1.9,0,0.03,yes,2,1,1
13883,122,ST6GALNAC4,84,196,7.1,-1.2,1.2,0,0,yes,2,1,1
13903,265,STAMBPL1,12,42,4.8,-1.8,1.8,0,0.01,yes,2,1,1
13905,110,STARD10,46,93,6.1,-1,1,0,0,yes,2,1,1
13958,154,STOM,96,200,7.2,-1.1,1.1,0.01,0.04,yes,2,1,1
13984,140,STX18,99,37,6.1,1.4,1.4,0,0,yes,2,1,1
13999,185,STYXL1,73,29,5.7,1.3,1.3,0.01,0.04,yes,2,1,1
14011,108,SUGT1,1262,598,9.9,1.1,1.1,0,0,yes,2,1,1
14021,123,SUN2,142,332,7.9,-1.2,1.2,0,0.02,yes,2,1,1
14040,368,SV2A,37,10,4.6,1.8,1.8,0,0,yes,2,1,1
14066,409,SYNDIG1L,313,18,7.4,4.1,4.1,0,0,yes,2,1,1
14108,118,TAB2,3352,1479,11.2,1.2,1.2,0,0,yes,2,1,1
14118,140,TADA2A,100,262,7.5,-1.4,1.4,0,0,yes,2,1,1
14128,128,TAF1D,119,49,6.4,1.3,1.3,0,0,yes,2,1,1
14164,473,TASOR,172,4536,11.2,-4.7,4.7,0,0,yes,2,1,1
14184,110,TBC1D24,21,45,5,-1.1,1.1,0,0.02,yes,2,1,1
14236,963,TCF21,5,133,6.1,-4.8,4.8,0,0,yes,1,1,1
14237,203,TCF24,99,24,5.9,2,2,0,0,yes,2,1,1
14249,166,TCP1,4131,1308,11.4,1.7,1.7,0,0,yes,2,1,1
14258,190,TCTN3,834,328,9.2,1.3,1.3,0,0,yes,2,1,1
14260,251,TDO2,40,7,4.6,2.5,2.5,0,0,yes,1,1,1
14290,168,TELO2,3052,954,11,1.7,1.7,0,0,yes,2,1,1
14297,145,TENT4A,108,39,6.2,1.4,1.4,0,0,yes,2,1,1
14314,199,TET2,90,209,7.2,-1.2,1.2,0,0,yes,2,1,1
14315,238,TET3,143,46,6.6,1.6,1.6,0,0,yes,2,1,1
14318,284,TEX12,27,5,4,2.4,2.4,0,0,yes,1,1,1
14335,131,TFB2M,223,91,7.3,1.3,1.3,0,0,yes,2,1,1
14339,155,TFEB,48,111,6.3,-1.2,1.2,0,0.02,yes,2,1,1
14353,136,TGFBR2,47,104,6.2,-1.1,1.1,0,0.03,yes,2,1,1
14394,130,TIA1,87,216,7.2,-1.3,1.3,0,0,yes,2,1,1
14396,191,TIAM1,51,178,6.8,-1.8,1.8,0,0.01,yes,2,1,1
14404,112,TIGD5,10,23,4,-1.1,1.1,0.01,0.04,yes,2,1,1
14418,138,TINAGL1,329,860,9.2,-1.4,1.4,0,0,yes,2,1,1
14445,190,TLR4,19,63,5.4,-1.7,1.7,0,0.01,yes,2,1,1
14472,264,TMCC3,15,54,5.1,-1.8,1.8,0,0.01,yes,2,1,1
14476,215,TMCO6,16,71,5.4,-2.1,2.1,0,0,yes,2,1,1
14499,565,TMEM120B,8,367,7.6,-5.6,5.6,0,0,yes,1,1,1
14501,114,TMEM123,106,235,7.4,-1.1,1.1,0,0.01,yes,2,1,1
14512,295,TMEM132D,24,3,3.8,2.9,2.9,0,0,yes,1,1,1
14520,274,TMEM14A,6,21,3.8,-1.8,1.8,0,0.01,yes,1,1,1
14536,260,TMEM170B,5,15,3.3,-1.5,1.5,0,0.02,yes,1,1,1
14551,101,TMEM19,325,161,7.9,1,1,0,0,yes,2,1,1
14558,124,TMEM201,135,57,6.6,1.2,1.2,0,0,yes,2,1,1
14594,103,TMEM267,122,60,6.5,1,1,0,0,yes,2,1,1
14595,172,TMEM268,354,1169,9.6,-1.7,1.7,0,0,yes,2,1,1
14612,169,TMEM43,1054,473,9.6,1.2,1.2,0,0,yes,2,1,1
14641,118,TMEM86A,10,22,4,-1.1,1.1,0.01,0.04,yes,2,1,1
14644,122,TMEM9,159,370,8,-1.2,1.2,0,0.02,yes,2,1,1
14667,255,TMTC2,5,23,3.8,-2.1,2.1,0,0.02,yes,1,1,1
14688,171,TNFRSF1A,14,34,4.6,-1.3,1.3,0.01,0.04,yes,2,1,1
14689,120,TNFRSF21,486,1008,9.5,-1.1,1.1,0.01,0.04,yes,2,1,1
14696,163,TNFSF13B,21,47,5.1,-1.2,1.2,0,0,yes,2,1,1
14708,177,TNNC2,72,31,5.7,1.2,1.2,0,0,yes,2,1,1
14710,129,TNNI2,13,32,4.5,-1.3,1.3,0,0,yes,2,1,1
14744,123,TOR3A,10,23,4,-1.2,1.2,0,0.01,yes,2,1,1
14746,173,TOX,14,45,4.9,-1.7,1.7,0,0.02,yes,2,1,1
14752,189,TP53I3,25,7,4,1.9,1.9,0,0,yes,1,1,1
14754,150,TP53RK,5,14,3.2,-1.5,1.5,0,0.02,yes,1,1,1
14755,138,TP73,11,28,4.3,-1.4,1.4,0,0.02,yes,2,1,1
14756,172,TPBG,107,38,6.2,1.5,1.5,0,0.01,yes,2,1,1
14790,621,TRABD2A,37,1,4.2,6.2,6.2,0,0,yes,1,1,1
14800,149,TRAF5,132,269,7.6,-1,1,0,0.01,yes,2,1,1
14838,112,TRIM24,5455,2505,12,1.1,1.1,0,0,yes,2,1,1
14908,183,TRNAC-GCA-8,71,20,5.5,1.8,1.8,0,0,yes,2,1,1
14909,134,TRNAC-GCA-9,52,25,5.3,1.1,1.1,0,0.02,yes,2,1,1
14953,178,TRNAI-AAU-3,5,13,3.2,-1.4,1.4,0.01,0.04,yes,1,1,1
14984,281,TRNAM-CAU,6,20,3.7,-1.8,1.8,0,0,yes,1,1,1
15115,124,TSPEAR,57,134,6.6,-1.2,1.2,0,0,yes,2,1,1
15117,151,TSPOAP1,46,131,6.5,-1.5,1.5,0,0,yes,2,1,1
15122,213,TSTA3,11,48,4.9,-2.1,2.1,0,0,yes,2,1,1
15124,231,TSTD3,40,164,6.7,-2,2,0,0,yes,2,1,1
15147,150,TTC39A,11,30,4.4,-1.5,1.5,0,0.02,yes,2,1,1
15177,101,TUBB6,738,1487,10.1,-1,1,0,0,yes,2,1,1
15183,117,TUBGCP5,87,196,7.1,-1.2,1.2,0,0,yes,2,1,1
15192,183,TUT7,3325,935,11.1,1.8,1.8,0,0,yes,2,1,1
15211,125,TXNDC5,30,72,5.7,-1.3,1.3,0,0.03,yes,2,1,1
15230,189,UAP1,8444,2599,12.4,1.7,1.7,0,0,yes,2,1,1
15254,197,UBE2E3,850,217,9.1,2,2,0,0,yes,2,1,1
15260,142,UBE2J1,680,1807,10.3,-1.4,1.4,0,0,yes,2,1,1
15299,250,UBXN10,15,5,3.3,1.7,1.7,0,0.03,yes,1,1,1
15307,110,UCHL3,35,16,4.7,1.1,1.1,0,0.01,yes,2,1,1
15310,134,UCK2,14,31,4.5,-1.1,1.1,0.01,0.04,yes,2,1,1
15311,122,UCKL1,60,140,6.6,-1.2,1.2,0,0,yes,2,1,1
15313,192,UCP3,87,23,5.8,1.9,1.9,0,0,yes,2,1,1
15322,149,UGGT2,5,14,3.2,-1.5,1.5,0,0.02,yes,1,1,1
15328,143,UHRF1BP1L,23,62,5.4,-1.4,1.4,0,0,yes,2,1,1
15357,142,UPB1,29,76,5.7,-1.4,1.4,0,0,yes,2,1,1
15372,199,UROS,1180,4019,11.3,-1.8,1.8,0,0,yes,2,1,1
15406,113,USP4,8107,3717,12.5,1.1,1.1,0,0,yes,2,1,1
15418,116,USP53,31,14,4.5,1.1,1.1,0.01,0.04,yes,2,1,1
15430,128,UTP20,72,176,7,-1.3,1.3,0,0,yes,2,1,1
15467,158,VEGFA,59,20,5.3,1.6,1.6,0,0,yes,2,1,1
15468,122,VEGFC,115,268,7.6,-1.2,1.2,0,0,yes,2,1,1
15472,131,VEZT,566,228,8.6,1.3,1.3,0,0,yes,2,1,1
15495,387,VPS13C,240,1626,9.9,-2.8,2.8,0,0,yes,2,1,1
15527,186,VRK3,56,179,6.9,-1.7,1.7,0,0,yes,2,1,1
15550,154,VWA8,25,74,5.6,-1.5,1.5,0,0,yes,2,1,1
15579,223,WDFY4,150,464,8.3,-1.6,1.6,0.01,0.04,yes,2,1,1
15580,110,WDHD1,235,500,8.5,-1.1,1.1,0,0,yes,2,1,1
15587,135,WDR19,14,5,3.2,1.3,1.3,0.01,0.04,yes,1,1,1
15644,140,WIPF1,7,19,3.7,-1.4,1.4,0.01,0.04,yes,1,1,1
15660,347,WNT4,15,3,3.2,2.5,2.5,0,0,yes,1,1,1
15670,161,WRAP53,191,66,7,1.6,1.6,0,0.01,yes,2,1,1
15681,127,WWC1,25,58,5.4,-1.2,1.2,0,0,yes,2,1,1
15693,688,XIRP1,0,11,2.5,-5.9,5.9,0,0,yes,1,1,1
15731,212,YDJC,10,30,4.3,-1.5,1.5,0,0.01,yes,2,1,1
15758,103,YWHAH,162,330,7.9,-1,1,0,0.01,yes,2,1,1
15775,209,ZBTB20,75,30,5.7,1.3,1.3,0,0,yes,2,1,1
15790,262,ZBTB46,430,70,8,2.6,2.6,0,0,yes,2,1,1
15819,162,ZCCHC17,550,274,8.7,1,1,0,0.01,yes,2,1,1
15825,125,ZCCHC9,256,524,8.6,-1,1,0,0,yes,2,1,1
15828,128,ZDHHC1,17,37,4.8,-1.1,1.1,0,0.02,yes,2,1,1
15829,145,ZDHHC12,580,264,8.7,1.1,1.1,0,0,yes,2,1,1
15851,175,ZFAND1,222,86,7.3,1.4,1.4,0,0,yes,2,1,1
15879,277,ZHX1,23,156,6.5,-2.8,2.8,0,0,yes,2,1,1
15911,143,ZNF292,1110,412,9.6,1.4,1.4,0,0,yes,2,1,1
15933,223,ZNF462,7,32,4.3,-2.2,2.2,0,0,yes,1,1,1
15948,144,ZNF593,215,432,8.3,-1,1,0,0,yes,2,1,1
15961,267,ZNF704,402,63,7.9,2.7,2.7,0,0,yes,2,1,1
15974,104,ZNF830,1217,594,9.8,1,1,0,0,yes,2,1,1
15977,218,ZNFX1,3392,8544,12.5,-1.3,1.3,0,0.01,yes,2,1,1
15985,386,ZPLD1,2,12,2.8,-2.5,2.5,0,0,yes,1,1,1
