Index,Sort order,GeneID,avg mUCRA,avg mUFOR,log2(avg),log2(FC),abs(log2FC),pvalue,padj,significant,Num_over_min_min nCount,Num_over_min_log2(FC),DIFF_EXP
9312,254,LOC115949449,70,21,5.5,1.8,1.8,0,0.03,yes,2,1,1
9325,104,LOC115949463,20,10,3.9,1,1,0.01,0.04,yes,2,1,1
9336,420,LOC115949477,1,14,2.9,-4.2,4.2,0,0,yes,1,1,1
9364,118,LOC115949507,36,16,4.7,1.2,1.2,0.01,0.04,yes,2,1,1
9415,124,LONP1,2671,1133,10.9,1.2,1.2,0,0,yes,2,1,1
9420,202,LOX,23,6,3.9,2,2,0,0,yes,1,1,1
9432,134,LPCAT2,95,241,7.4,-1.3,1.3,0,0,yes,2,1,1
9433,106,LPCAT3,102,205,7.3,-1,1,0,0.01,yes,2,1,1
9435,300,LPIN1,5,18,3.5,-1.9,1.9,0,0.02,yes,1,1,1
9465,138,LRP4,36,94,6,-1.4,1.4,0.01,0.03,yes,2,1,1
9479,181,LRRC23,80,38,5.9,1.1,1.1,0,0.01,yes,2,1,1
9489,264,LRRC3C,877,160,9,2.5,2.5,0,0,yes,2,1,1
9490,113,LRRC40,39,86,6,-1.1,1.1,0,0,yes,2,1,1
9502,225,LRRC59,54,257,7.3,-2.3,2.3,0,0,yes,2,1,1
9533,204,LSAMP,4,16,3.3,-2,2,0,0,yes,1,1,1
9534,112,LSG1,61,126,6.5,-1,1,0,0.02,yes,2,1,1
9549,137,LSP1,319,649,8.9,-1,1,0.01,0.04,yes,2,1,1
9550,169,LSS,15,42,4.8,-1.4,1.4,0,0.02,yes,2,1,1
9564,133,LUZP1,59,136,6.6,-1.2,1.2,0,0,yes,2,1,1
9584,182,LYST,878,248,9.1,1.8,1.8,0,0,yes,2,1,1
9585,481,LYVE1,1,36,4.2,-4.8,4.8,0,0,yes,1,1,1
9587,129,LZIC,128,314,7.8,-1.3,1.3,0,0,yes,2,1,1
9590,156,LZTS2,35,12,4.6,1.6,1.6,0,0.01,yes,2,1,1
9604,175,MAD2L1,139,41,6.5,1.8,1.8,0,0,yes,2,1,1
9606,117,MAD2L2,43,97,6.1,-1.2,1.2,0,0,yes,2,1,1
9618,173,MAGI3,304,91,7.6,1.7,1.7,0,0,yes,2,1,1
9642,115,MAN2A2,926,2060,10.5,-1.2,1.2,0,0,yes,2,1,1
9666,184,MAP3K1,171,612,8.6,-1.8,1.8,0,0,yes,2,1,1
9671,112,MAP3K2,1013,466,9.5,1.1,1.1,0,0,yes,2,1,1
9683,141,MAP4K5,919,345,9.3,1.4,1.4,0,0,yes,2,1,1
9691,161,MAPK12,127,42,6.4,1.6,1.6,0,0,yes,2,1,1
9699,107,MAPK9,969,462,9.5,1.1,1.1,0,0,yes,2,1,1
9701,143,MAPKAPK2,142,381,8,-1.4,1.4,0,0,yes,2,1,1
9711,566,MARCHF3,0,11,2.5,-4.9,4.9,0,0,yes,1,1,1
9736,240,MATN3,310,111,7.7,1.5,1.5,0,0,yes,2,1,1
9765,144,MCCC2,8,22,3.9,-1.4,1.4,0,0,yes,1,1,1
9808,105,ME2,400,194,8.2,1,1,0,0,yes,2,1,1
9823,132,MED18,69,170,6.9,-1.3,1.3,0,0,yes,2,1,1
9846,123,MEGF9,62,145,6.7,-1.2,1.2,0,0,yes,2,1,1
9853,173,MEIS2,6,22,3.8,-1.7,1.7,0.01,0.05,yes,1,1,1
9885,113,METTL9,9,19,3.8,-1.1,1.1,0.01,0.04,yes,1,1,1
9912,106,MFSD4B,31,63,5.6,-1.1,1.1,0,0.02,yes,2,1,1
