"","x"
"314","VAMP4"
"315","VASH2"
"316","WFS1"
"317","XPNPEP3"
"318","XRCC6"
"319","ZDHHC14"
"320","ZDHHC4"
"321","ZFPM2"
"322","ZNF608"
"323","ZNF830"
