"","x"
"323","CUNH18orf63"
"324","CUNH1orf131"
"325","CUNH1orf21"
"326","CUNH9orf64"
"327","CUX1"
"328","CYFIP1"
"329","CYSLTR1"
"330","CYTH3"
"331","DAB2IP"
"332","DACH1"
"333","DACH2"
"334","DAP"
"335","DBF4"
"336","DBNDD2"
"337","DCAF17"
"338","DCAKD"
"339","DCLK3"
"340","DCSTAMP"
"341","DCTN1"
"342","DDI2"
"343","DDX49"
"344","DENND11"
"345","DENND2B"
"346","DENND4A"
"347","DENND4B"
"348","DEPDC7"
"349","DERL2"
"350","DES"
"351","DESI2"
"352","DGLUCY"
"353","DHRS3"
"354","DHRSX"
"355","DHX38"
"356","DHX57"
"357","DIAPH2"
"358","DIO1"
"359","DIP2B"
"360","DIP2C"
"361","DISP3"
"362","DMAC2L"
"363","DMRTB1"
"364","DMXL2"
"365","DNAJA2"
"366","DNAJB11"
"367","DNAJC11"
"368","DNAJC12"
"369","DNAJC16"
"370","DNAJC17"
"371","DNAJC25"
"372","DNAJC3"
"373","DNASE2B"
"374","DOCK4"
"375","DOCK5"
"376","DOCK7"
"377","DOK7"
"378","DOLK"
"379","DPH2"
"380","DPP4"
"381","DPY19L1"
"382","DPY19L3"
"383","DPYD"
"384","DRAM1"
"385","DRAXIN"
"386","DRG2"
"387","DSCC1"
"388","DSG2"
"389","DSG4"
"390","DST"
"391","DTD2"
"392","DTNB"
"393","DTWD1"
"394","DTYMK"
"395","DUS1L"
"396","DUSP16"
"397","DUSP4"
"398","DYNC1I1"
"399","ECM1"
"400","ECSCR"
"401","EDNRA"
"402","EFHC2"
"403","EIF1"
"404","EIF2A"
"405","EIF2B2"
"406","EIF2B4"
"407","EIF5B"
"408","EIF6"
"409","ELAC2"
"410","ELAVL2"
"411","ELK3"
"412","ELMOD3"
"413","ELOVL6"
"414","EMB"
"415","EMP1"
"416","ENDOD1"
"417","ENGASE"
"418","ENHO"
"419","ENO1"
"420","ENTPD8"
"421","ENTR1"
"422","EOGT"
"423","EPB41L2"
"424","EPHX1"
"425","EPHX4"
"426","EPS8"
"427","ERAL1"
"428","ERC2"
"429","ERG"
"430","ERP29"
"431","ESPN"
"432","ESYT2"
"433","ETS2"
"434","ETV4"
"435","EVI2A"
"436","EVI2B"
"437","EXOC1L"
"438","EXOC2"
"439","EXOSC2"
"440","EXOSC8"
"441","EXPH5"
"442","F2"
"443","F5"
"444","FA2H"
"445","FABP3"
"446","FAH"
"447","FAM118A"
"448","FAM131B"
"449","FAM135A"
"450","FAM160A1"
"451","FAM160A2"
"452","FAM162B"
"453","FAM171A1"
"454","FAM183A"
"455","FAM185A"
"456","FAM193B"
"457","FAM199X"
"458","FAM219B"
"459","FAM234B"
"460","FAM49B"
"461","FAM91A1"
"462","FAR1"
"463","FAXC"
